date,shift_group,alignment_variable,n_valid,optimal_shift_s,peak_r,peak_r_raw,zero_lag_r,peak_margin,second_peak_r,monotonic_halfwidth_s,left_halfwidth_s,right_halfwidth_s,concavity_fraction,decision,reason,n_vars_shifted
2020-02-15,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,11299,1.0,0.5583,0.5708,0.5576,0.042,0.5164,29.0,31.0,29.0,0.8571,SHIFT,,20
2020-02-17,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,11352,7.0,0.8527,0.8531,0.8505,0.0016,0.8511,23.0,37.0,23.0,1.0,SHIFT,,14
2020-02-17,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,20,-2.0,0.8758,0.8843,0.8611,0.0102,0.8656,10.0,13.0,10.0,0.6667,SKIP,n_valid=20<300,0
2020-02-17,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,3812,10.0,0.5203,0.5204,0.5175,0.0007,0.5196,20.0,40.0,20.0,1.0,SHIFT,,2
2020-02-17,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,11586,5.0,0.9227,0.9229,0.9215,0.0015,0.9211,25.0,35.0,25.0,1.0,SHIFT,,20
2020-02-21,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,6740,-11.0,0.6854,0.6859,0.6819,0.0011,0.6843,19.0,19.0,41.0,1.0,SHIFT,,14
2020-02-21,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,136,21.0,0.0976,0.114,-0.2655,0.0261,0.0715,9.0,37.0,9.0,0.75,SKIP,n_valid=136<300; peak_r<0.2,0
2020-02-21,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,4313,0.0,0.6043,0.6091,0.6043,0.0112,0.5931,14.0,30.0,14.0,0.619,SHIFT,,0
2020-02-21,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,10325,-4.0,0.6445,0.7071,0.5858,0.1155,0.529,26.0,26.0,34.0,0.4762,SHIFT,,20
2020-02-22,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,18876,2.0,0.608,0.6105,0.6072,0.0055,0.6025,28.0,32.0,28.0,0.8571,SHIFT,,14
2020-02-22,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,177,-30.0,-0.1663,-0.1616,-0.3368,0.0167,-0.1829,0.0,0.0,12.0,0.7273,SKIP,n_valid=177<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-02-22,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,16288,13.0,0.5751,0.5824,0.5167,0.0196,0.5555,17.0,43.0,17.0,0.7619,SHIFT,,2
2020-02-22,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,23378,-1.0,0.336,0.3399,0.3357,0.0122,0.3238,29.0,29.0,31.0,0.9048,SHIFT,,20
2020-02-23,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,18666,4.0,0.1673,0.1675,0.1669,0.001,0.1663,26.0,34.0,26.0,1.0,SKIP,peak_r<0.2,0
2020-02-23,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,39,-7.0,-0.0339,0.1014,-0.3581,0.1223,-0.1561,9.0,23.0,9.0,0.4286,SKIP,n_valid=39<300; peak_r<0.2,0
2020-02-23,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,7597,-30.0,0.6144,0.6184,0.5412,0.0198,0.5946,0.0,0.0,25.0,0.7273,SKIP,monotonic_halfwidth_s<5,0
2020-02-23,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,21005,2.0,0.575,0.5774,0.5733,0.0076,0.5674,28.0,32.0,28.0,1.0,SHIFT,,20
2020-02-27,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,9583,2.0,0.8704,0.8714,0.87,0.0027,0.8677,28.0,32.0,28.0,1.0,SHIFT,,14
2020-02-27,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,278,6.0,0.1842,0.2041,0.1085,0.0603,0.1239,17.0,22.0,17.0,0.6667,SKIP,n_valid=278<300; peak_r<0.2,0
2020-02-27,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,4430,6.0,0.4252,0.445,0.3743,0.0444,0.3808,24.0,36.0,24.0,0.5714,SHIFT,,2
2020-02-27,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,12498,-5.0,0.3779,0.3866,0.3601,0.0256,0.3522,15.0,15.0,22.0,0.7143,SHIFT,,20
2020-02-28,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,17798,9.0,0.7892,0.7894,0.7851,0.0009,0.7883,21.0,39.0,21.0,1.0,SHIFT,,14
2020-02-28,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,60,-11.0,0.2089,0.248,-0.1032,0.114,0.0949,19.0,19.0,41.0,0.7143,SKIP,n_valid=60<300,0
2020-02-28,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,8572,-13.0,0.2625,0.2628,0.2467,0.0021,0.2604,17.0,17.0,43.0,0.9524,SHIFT,,2
2020-02-28,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,29405,0.0,0.6105,0.6137,0.6105,0.011,0.5995,30.0,30.0,30.0,1.0,SHIFT,,0
2020-02-29,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,9581,8.0,0.7123,0.7151,0.6923,0.0103,0.7021,22.0,38.0,22.0,1.0,SHIFT,,14
2020-02-29,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,517,8.0,0.373,0.3831,0.3252,0.0311,0.3419,22.0,38.0,22.0,0.8095,SHIFT,,15
2020-02-29,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-02-29,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,12788,-2.0,0.2448,0.2471,0.2431,0.01,0.2347,25.0,28.0,25.0,0.9048,SHIFT,,20
2020-03-01,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,19169,7.0,0.6652,0.6659,0.6613,0.0023,0.6629,23.0,37.0,23.0,1.0,SHIFT,,14
2020-03-01,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,116,15.0,0.0445,0.097,-0.0459,0.0172,0.0273,12.0,12.0,15.0,0.5714,SKIP,n_valid=116<300; peak_r<0.2,0
2020-03-01,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,9769,7.0,0.7423,0.7534,0.7199,0.0184,0.7239,23.0,37.0,23.0,0.5238,SHIFT,,2
2020-03-01,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,29128,-2.0,0.6053,0.6115,0.6032,0.0137,0.5916,28.0,28.0,32.0,0.9048,SHIFT,,20
2020-03-02,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,10134,2.0,0.0682,0.0686,0.0679,0.0014,0.0667,28.0,32.0,28.0,1.0,SKIP,peak_r<0.2,0
2020-03-02,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,131,-30.0,0.3205,0.4167,-0.2297,0.12,0.2006,0.0,0.0,23.0,0.5455,SKIP,n_valid=131<300; monotonic_halfwidth_s<5,0
2020-03-02,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,11166,14.0,0.917,0.9309,0.8517,0.0238,0.8932,16.0,44.0,16.0,0.5714,SHIFT,,2
2020-03-02,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,11162,-3.0,0.6882,0.6938,0.6836,0.0211,0.6671,27.0,27.0,33.0,0.9048,SHIFT,,20
2020-03-06,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,7352,3.0,0.8271,0.8288,0.825,0.0051,0.822,27.0,33.0,27.0,1.0,SHIFT,,14
2020-03-06,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,477,-30.0,-0.1926,-0.1833,-0.2072,0.0136,-0.2062,0.0,0.0,18.0,1.0,SKIP,peak_r<0.2; monotonic_halfwidth_s<5,0
2020-03-06,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,4743,23.0,0.2934,0.2944,0.2622,0.0023,0.2911,7.0,53.0,7.0,0.6111,SHIFT,,2
2020-03-06,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,11839,0.0,0.2871,0.2927,0.2871,0.0167,0.2705,21.0,21.0,30.0,0.8095,SHIFT,,0
2020-03-08,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,19723,6.0,0.7017,0.7026,0.6986,0.0026,0.6991,24.0,36.0,24.0,1.0,SHIFT,,14
2020-03-08,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,263,1.0,0.4217,0.4491,0.4181,0.0634,0.3582,23.0,23.0,27.0,0.8571,SKIP,n_valid=263<300,0
2020-03-08,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,23463,11.0,0.7354,0.7401,0.7188,0.0085,0.7268,19.0,41.0,19.0,0.5238,SHIFT,,2
2020-03-08,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,23307,-5.0,0.2838,0.29,0.2719,0.0167,0.2671,25.0,25.0,35.0,0.7143,SHIFT,,20
2020-03-09,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,10326,7.0,0.455,0.4553,0.4528,0.0016,0.4534,23.0,37.0,23.0,0.8571,SHIFT,,14
2020-03-09,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,166,-7.0,-0.0478,-0.0467,-0.1001,0.0065,-0.0543,21.0,23.0,21.0,0.619,SKIP,n_valid=166<300; peak_r<0.2,0
2020-03-09,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,11781,13.0,0.8839,0.8862,0.8614,0.0051,0.8788,17.0,43.0,17.0,0.8571,SHIFT,,2
2020-03-09,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,11656,-4.0,0.7406,0.7473,0.7312,0.0207,0.72,26.0,26.0,34.0,1.0,SHIFT,,20
2020-03-11,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,9319,-11.0,0.3424,0.3441,0.3059,0.0038,0.3386,19.0,19.0,21.0,0.8571,SHIFT,,14
2020-03-11,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,44,-1.0,0.3335,0.4165,0.3281,0.15,0.1835,11.0,26.0,11.0,0.5238,SKIP,n_valid=44<300,0
2020-03-11,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,10483,13.0,0.5866,0.594,0.5571,0.0123,0.5743,17.0,28.0,17.0,0.619,SHIFT,,2
2020-03-11,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,10427,-5.0,0.4786,0.4801,0.4744,0.0059,0.4726,19.0,19.0,35.0,0.7619,SHIFT,,20
2020-03-12,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,18629,7.0,0.8132,0.8145,0.8081,0.0037,0.8095,23.0,37.0,23.0,1.0,SHIFT,,14
2020-03-12,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,313,-30.0,-0.0205,0.0081,-0.2479,0.0237,-0.0442,0.0,0.0,8.0,0.4545,SKIP,peak_r<0.2; monotonic_halfwidth_s<5,0
2020-03-12,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,29303,15.0,0.7205,0.7256,0.6985,0.0056,0.7149,15.0,45.0,15.0,0.4762,SHIFT,,2
2020-03-12,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,29193,-2.0,0.5871,0.5895,0.5866,0.0055,0.5815,16.0,28.0,16.0,0.6667,SHIFT,,20
2020-08-05,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-05,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-05,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-05,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-11,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-11,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-11,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-11,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-13,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,10674,4.0,0.1825,0.1832,0.1806,0.0025,0.18,26.0,34.0,26.0,1.0,SKIP,peak_r<0.2,0
2020-08-13,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,138,-30.0,0.0567,0.0866,-0.1519,0.0778,-0.0211,0.0,0.0,14.0,0.5455,SKIP,n_valid=138<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-13,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,4822,7.0,0.6301,0.7295,0.3452,0.2261,0.404,18.0,21.0,18.0,0.5238,SHIFT,,2
2020-08-13,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-17,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,9971,0.0,0.8047,0.8058,0.8047,0.0046,0.8001,30.0,30.0,30.0,1.0,SHIFT,,0
2020-08-17,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,163,18.0,0.2667,0.2752,0.1154,0.0256,0.241,8.0,8.0,12.0,0.5714,SKIP,n_valid=163<300,0
2020-08-17,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,5010,7.0,0.6075,0.6327,0.5096,0.0659,0.5416,23.0,37.0,23.0,0.5714,SHIFT,,2
2020-08-17,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,12400,0.0,0.4341,0.4471,0.4341,0.0403,0.3938,30.0,30.0,30.0,0.9524,SHIFT,,0
2020-08-20,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,10404,5.0,0.6719,0.6736,0.6661,0.0058,0.6661,25.0,35.0,25.0,1.0,SHIFT,,14
2020-08-20,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,265,-6.0,0.1333,0.1362,0.1204,0.0057,0.1276,8.0,8.0,14.0,0.7143,SKIP,n_valid=265<300; peak_r<0.2,0
2020-08-20,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,4937,7.0,0.3031,0.3085,0.291,0.0069,0.2962,23.0,34.0,23.0,0.4762,SHIFT,,2
2020-08-20,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,10910,30.0,0.204,0.2081,0.1759,0.011,0.1929,0.0,20.0,0.0,0.5455,SKIP,monotonic_halfwidth_s<5,0
2020-08-21,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,9527,6.0,0.789,0.7916,0.7816,0.0074,0.7816,24.0,36.0,24.0,1.0,SHIFT,,14
2020-08-21,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,95,3.0,0.4086,0.4482,0.3772,0.1144,0.2942,14.0,33.0,14.0,0.8571,SKIP,n_valid=95<300,0
2020-08-21,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,4627,-30.0,0.1344,0.1412,0.071,0.0155,0.1189,0.0,0.0,27.0,0.6364,SKIP,peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-21,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,10467,30.0,0.1329,0.135,0.0962,0.0058,0.1271,0.0,56.0,0.0,0.9091,SKIP,peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-25,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,9201,-3.0,0.4571,0.4576,0.4568,0.0012,0.4559,27.0,27.0,33.0,1.0,SHIFT,,14
2020-08-25,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,330,4.0,-0.0081,0.0321,-0.0402,0.0574,-0.0655,16.0,26.0,16.0,0.7143,SKIP,peak_r<0.2,0
2020-08-25,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,4868,30.0,-0.0535,-0.0531,-0.0739,0.0013,-0.0548,0.0,57.0,0.0,0.9091,SKIP,peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-25,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-26,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,10639,-2.0,0.5485,0.5491,0.5483,0.002,0.5465,28.0,28.0,32.0,1.0,SHIFT,,14
2020-08-26,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,59,-27.0,0.4487,0.4709,-0.2017,0.0622,0.3866,3.0,3.0,24.0,0.9286,SKIP,n_valid=59<300; monotonic_halfwidth_s<5,0
2020-08-26,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,4502,8.0,-0.0929,-0.0881,-0.1102,0.0091,-0.102,15.0,26.0,15.0,0.5714,SKIP,peak_r<0.2,0
2020-08-26,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-28,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,11627,4.0,0.9252,0.9254,0.9248,0.0005,0.9247,26.0,34.0,26.0,1.0,SHIFT,,14
2020-08-28,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-08-28,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,3199,19.0,0.2194,0.2219,0.2146,0.0025,0.217,10.0,10.0,11.0,0.4286,SHIFT,,2
2020-08-28,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-09-02,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,9115,-14.0,0.3336,0.3339,0.3312,0.0002,0.3335,9.0,9.0,44.0,0.6667,SHIFT,,14
2020-09-02,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,198,21.0,0.003,0.0195,-0.115,0.0377,-0.0348,9.0,15.0,9.0,0.55,SKIP,n_valid=198<300; peak_r<0.2,0
2020-09-02,CCN,In-situ_Cloud_Condensation_Nuclei_Concentrations_From_the_DMT_CCN_Counter_on_the_NASA_HU-25_Falcon_N_CCN_stdPT,0,,,,,,,,,,,SKIP,n_valid=0<300; peak_r<0.2; monotonic_halfwidth_s<5,0
2020-09-02,Optical,In-situ_optical_aerosol_measurements_from_the_NASA_HU-25_Sc550_total,6068,-4.0,0.7968,0.799,0.7949,0.0045,0.7923,26.0,26.0,27.0,0.7619,SHIFT,,20
2020-09-03,AMS,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_Ave_IsoK_STP,9895,5.0,0.638,0.639,0.636,0.0028,0.6351,25.0,35.0,25.0,1.0,SHIFT,,14
2020-09-03,AMS-CVI,Aerodyne_High-Resolution_Time-of-Flight_Mass_Spectrometer_SO4_frac_CVI,64,30.0,-0.0813,-0.0665,-0.1716,0.0279,-0.1092,0.0,26.0,0.0,0.4545,SKIP,n_valid=64<300; peak_r<0.2; monotonic_halfwidth_s<5,0
